title,org,level,term,closing_date,posted_date
Executive / Park Planning (Contract),National Parks Board,Entry level,Contract,Closing on 21 Mar 2022,6 day(s) ago
Executive / Park Planning,National Parks Board,Entry level,Permanent/Contract,Closing on 21 Mar 2022,6 day(s) ago
Manager (Review) (2-year contract),Singapore Food Agency,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
Senior Analyst/Analyst (Laboratory Analysis 1 Section) – Contract,National Environment Agency,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
Senior Manager / Manager (Business Development) – Open Innovation Platform,Info-communications Media Development Authority,Entry level,Permanent/Contract,Closing on 21 Mar 2022,6 day(s) ago
Associate/Senior Associate (Special Projects / Economic Strategy),Ministry of Finance,Entry level,Permanent/Contract,Closing on 07 Apr 2022,6 day(s) ago
"Senior/ Forensic Scientist, Forensic Chemistry and Physics Lab (Traffic Accident",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"Laboratory Officer, Analytical Toxicology Lab-Drug Abuse Testing",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"SENIOR MANAGER, COMMUNICATION & ENGAGEMENT",Health Promotion Board,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
Forensic Technical Officer (Histolab),Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"ASSISTANT DIRECTOR, COMMUNICATION & ENGAGEMENT",Health Promotion Board,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
Project Manager/Senior Project Manager,National Library Board,Entry level,Fixed Terms,Closing on 07 Mar 2023,6 day(s) ago
"Senior/ Forensic Scientist, Forensic Chemistry and Physics Lab (Patterns Evidenc",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"Assistant Manager to Senior Manager, Digital (Media Advertising)",Singapore Tourism Board,02-08 year(s),Permanent,Closing on 25 Mar 2022,6 day(s) ago
Associate IT Talent Acquisition and Attraction Partner,Government Technology Agency,Entry level,Fixed Terms,Closing on 31 Mar 2022,6 day(s) ago
Assistant Executive (Port Health Services) - Contract,National Environment Agency,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
Associate Audit Officer/Audit Officer/Senior Audit Officer,Auditor-General's Office,Entry level,Permanent/Contract,Closing on 22 Mar 2022,6 day(s) ago
"Senior/ Laboratory Officer, DNA Profiling Lab (Synapse)",Health Sciences Authority,Entry level,Fixed Terms,Closing on 21 Mar 2022,6 day(s) ago
"Assistant Manager/Manager (Project Management), Asian Civilisations Museum",National Heritage Board,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
ASSISTANT DIRECTOR/SENIOR ASSISTANT DIRECTOR (CHANNEL DIGITALISATION PROGRAMME/2,Singapore Food Agency,Entry level,Contract,Closing on 22 Mar 2022,6 day(s) ago
GovTech 2022 Internship,Government Technology Agency,Entry level,Internship,Closing on 31 Mar 2022,6 day(s) ago
Senior Officer of Customs,Singapore Customs,Entry level,Permanent/Contract,Closing in 2  day(s),6 day(s) ago
Manager/ Assistant Manager (Customer & Quality Service Department),National Environment Agency,03-05 year(s),Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"Senior/Early Childhood Officer (Programme Planning), ECDA-CD",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
"Team Lead (Programme Planning), ECDA-CD",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
"Rehabilitation and Protection Officer (Child Protection Officer), CPS/RPG",Ministry Of Social And Family Development,Entry level,Contract,Closing on 25 Mar 2022,3 day(s) ago
"Senior Research Psychologist, RPG-CFPS",Ministry Of Social And Family Development,Entry level,Contract,Closing on 24 Mar 2022,3 day(s) ago
"Asst Manager / Snr Executive (Offiice Management), CSD (2 Years Contract)",Attorney-General's Chambers,Entry level,Fixed Terms,Closing on 24 Mar 2022,3 day(s) ago
Lead/Senior ICT&SS Risk Specialist,Government Technology Agency,Entry level,Permanent,Closing in 6  day(s),3 day(s) ago
"Application Infrastructure Engineer, National Digital Identity",Government Technology Agency,Entry level,Permanent,Closing on 01 Apr 2022,3 day(s) ago
Digital Business Analyst - ERP (SAP / Workday- Financial / HCM),Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
Digital Business Analyst (Data Analytics),Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
Procurement Partner,Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
"Executive/Senior Executive, Organisation Development and Change Management, OSHD",Ministry of Manpower,Entry level,Contract,Closing on 31 Mar 2022,3 day(s) ago
"ASSISTANT MANAGER, DIGITALISATION AND INTERNAL REVIEW",Land Transport Authority,Entry level,Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
EXECUTIVE ENGINEER / ENGINEER (ENGINEERING WORKS AND RESTRICTED ACTIVITIES)	,Land Transport Authority,05-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
PRINCIPAL ENGINEER (REVIEW OF ENGINEERING DESIGN) OF ENGINEERING DESIGN,Land Transport Authority,10-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
Digital Business Analyst - Agile,Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
"DEPUTY MANAGER / ASSISTANT MANAGER, BUS SERVICE CONTRACT COMPLIANCE",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
"ENGINEER / PRINCIPAL ASSISTANT ENGINEER, VERTICAL TRANSPORT & TUNNEL (SYSTEMS)",Land Transport Authority,02-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
Solution Architect (Cloud-Native),Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
"DEPUTY / ASSISTANT MANAGER, BUS LICENCE SERVICES",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
"DEPUTY / ASSISTANT MANAGER , BUS ASSETS (ASSETS PRESERVATION MANAGEMENT)",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
Assistant Manager (Accessibility),National Library Board,Entry level,Fixed Terms,Closing on 23 Mar 2022,3 day(s) ago
"MANAGER , BUS ASSETS (ASSETS PRESERVATION MANAGEMENT",Land Transport Authority,06-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
"DEPUTY MANAGER/ ASSISTANT MANAGER, LICENSING OPERATIONS",Land Transport Authority,05-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
"Solution Architect, National Digital Identity",Government Technology Agency,Entry level,Permanent,Closing on 01 Apr 2022,3 day(s) ago
Solution Architect (Enterprise),Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
Manager (Pandemic Response Operations) – Blood Resources Division,Health Sciences Authority,Entry level,Fixed Terms,Closing on 31 Mar 2022,3 day(s) ago
Procurement Manager (Policy & Plans),Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,3 day(s) ago
Procurement Manager (Operations),Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,3 day(s) ago
Finance Manager,Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,3 day(s) ago
Manager (Cyber Governance & Compliance),Military Security Department,Entry level,Permanent,Closing on 31 Dec 2022,3 day(s) ago
"MANAGER / DEPUTY MANAGER, OPERATIONS TECHNOLOGY	",Land Transport Authority,03-00 year(s),Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
ASSISTANT ENGINEER (ROAD / EXPRESSWAY / TUNNEL / BRIDGE),Land Transport Authority,Entry level,Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
Medical Screener (Blood Bank) - Blood Services Group,Health Sciences Authority,Entry level,Fixed Terms,Closing on 31 Mar 2022,3 day(s) ago
"DEPUTY MANAGER / ASSISTANT MANAGER, PROJECTS	",Land Transport Authority,Entry level,Permanent/Contract,Closing on 07 Apr 2022,3 day(s) ago
"Chief Information Officer (CIO), GovTech Managed Agencies",Government Technology Agency,Entry level,Permanent,Closing on 07 Apr 2022,3 day(s) ago
Senior Executive/Executive (HR/Payroll/Finance/Digitalisation/Pension/SB Cloud),Vital,Entry level,Contract,Closing on 24 Mar 2022,3 day(s) ago
"SENIOR ENGINEER / EXECUTIVE ENGINEER, ASSET MANAGEMENT SYSTEM & PLANNING",Land Transport Authority,03-00 year(s),Contract,Closing on 07 Apr 2022,3 day(s) ago
MANAGER / DEPUTY MANAGER (OPERATIONS / IT AUDIT),Land Transport Authority,03-00 year(s),Contract,Closing on 07 Apr 2022,2 day(s) ago
"EXECUTIVE ENGINEER, SYSTEM DEVELOPMENT (BACK OFFICE SYSTEM)",Land Transport Authority,03-00 year(s),Contract,Closing on 07 Apr 2022,2 day(s) ago
"LEGAL COUNSEL (LEGAL, VEHICLES SERVICES & INFRASTRUCTURE)",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,2 day(s) ago
"PRINCIPAL ENGINEER, SYSTEM ARCHITECTURE & ASSURANCE",Land Transport Authority,03-00 year(s),Contract,Closing on 07 Apr 2022,2 day(s) ago
SENIOR / EXECUTIVE ENGINEER (SYSTEM ANALYST/ DESIGNER),Land Transport Authority,03-00 year(s),Contract,Closing on 07 Apr 2022,2 day(s) ago
" SENIOR ASSISTANT ENGINEER, SYSTEM DEVELOPMENT (E-PAYMENT INNOVATION CENTRE)",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,2 day(s) ago
"PRINCIPAL ENGINEER /SENIOR ENGINEER /EXECUTIVE ENGINEER / ENGINEER, ROAD CONSTRU",Land Transport Authority,02-00 year(s),Contract,Closing on 07 Apr 2022,2 day(s) ago
"PRINCIPAL ASSISTANT ENGINEER / SENIOR ASSISTANT ENGINEER / ASSISTANT ENGINEER, R",Land Transport Authority,02-00 year(s),Contract,Closing on 07 Apr 2022,3 day(s) ago
"SENIOR ADMIN EXECUTIVE / ADMIN EXECUTIVE, ROAD CONSTRUCTION 1",Land Transport Authority,02-00 year(s),Contract,Closing on 07 Apr 2022,3 day(s) ago
"Senior Manager/Manager, Innovation Hub",Vital,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
"Assistant Director/Associate, Business Competitiveness (Tax)",Monetary Authority of Singapore,Entry level,Permanent,Closing on 10 Apr 2022,3 day(s) ago
"MANAGER / DEPUTY / ASSISTANT MANAGER, TRANSFORMATION OFFICE (CORPORATE STRATEGY)",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,3 day(s) ago
"EXECUTIVE / PROJECT ENGINEER, SIGNALLING & PLATFORM SCREEN DOOR",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,3 day(s) ago
ADJUNCT OPERATIONS SUPPORT OFFICER (1-YEAR CONTRACT),Ministry of Education,Entry level,Contract,Closing on 25 Mar 2022,2 day(s) ago
"EXECUTIVE / PROJECT ENGINEER, INTEGRATED CONTROL SYSTEMS",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,3 day(s) ago
"SENIOR / ASSISTANT PROJECT ENGINEER, SYSTEMS INTEGRATION & COMMISSIONING",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,3 day(s) ago
ADJUNCT OPERATIONS MANAGER (1-YEAR CONTRACT),Ministry of Education,Entry level,Contract,Closing on 25 Mar 2022,2 day(s) ago
"SENIOR / EXECUTIVE / PROJECT ENGINEER, ELECTRICAL SERVICES",Land Transport Authority,Entry level,Contract,Closing on 07 Apr 2022,3 day(s) ago
ADJUNCT CORPORATE SUPPORT OFFICER (1-YEAR CONTRACT),Ministry of Education,Entry level,Contract,Closing on 25 Mar 2022,2 day(s) ago
Landscape Architect,National Parks Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
Dental Therapist,Health Promotion Board,Entry level,Permanent,Closing on 24 Mar 2022,3 day(s) ago
Executive/ Senior Executive (Development Management) (Contract),National Parks Board,Entry level,Contract,Closing on 24 Mar 2022,3 day(s) ago
Senior Systems Analyst / Systems Analyst (Technical Consultant - Cloud Solution),Housing and Development Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
Network Specialist (IoT) (Contract),Housing and Development Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
Systems Specialist (Web Hosting Platform),Housing and Development Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
"Senior Head, Higher Education Policy",Ministry of Education,Entry level,Contract,Closing on 25 Mar 2022,2 day(s) ago
Manager / Senior Manager (Data Governance & Management),Casino Regulatory Authority,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
Associate/ Senior Associate (Accountancy and Corporate Regulations),Ministry of Finance,Entry level,Permanent/Contract,Closing on 31 Mar 2022,3 day(s) ago
Senior/Assistant Director (Strategic Workforce Planning),State Courts,03-03 year(s),Permanent/Contract,Closing on 27 Mar 2022,3 day(s) ago
"Executive to Manager (Systems and Data Branch), PD/SPSG",Ministry Of Social And Family Development,Entry level,Permanent/Contract,Closing on 19 Mar 2022,2 day(s) ago
"Deputy Director, Corporate & Industry Partnerships",Health Promotion Board,Entry level,Permanent,Closing on 31 Mar 2022,3 day(s) ago
"Senior / Manager, Organisation Development, LRWD",Ministry of Manpower,Entry level,Permanent/Contract,Closing on 31 Mar 2022,3 day(s) ago
"Senior Manager / Manager / Assistant Manager (Cyber Threat Analysis), NCTAC",Cyber Security Agency of Singapore,03-08 year(s),Permanent/Contract,Closing on 31 Mar 2022,3 day(s) ago
Asst Director (Projects) - CPD,People's Association,05-05 year(s),Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"ASSISTANT MANAGER, ENFORCEMENT TRAINING AND DEVELOPMENT (1 YEAR TEMPORARY CONTRA",Land Transport Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,3 day(s) ago
"HEAD (ADMIN & OPERATIONS), ARTS & CULTURE DIVISION (ACD)",People's Association,03-03 year(s),Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
"DEPUTY / ASSISTANT MANAGER, COLLECTIONS, RECEIVABLES & REFUNDS",Land Transport Authority,03-00 year(s),Contract,Closing on 07 Apr 2022,3 day(s) ago
Planner,JTC Corporation,Entry level,Permanent/Contract,Closing on 05 Apr 2022,4 day(s) ago
Estate Manager (Town Council Secretariat),Housing and Development Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
Executive (Levies) – Contract,Central Provident Fund Board,Entry level,Contract,Closing on 23 Mar 2022,4 day(s) ago
Safe Distancing Ambassador (SDA),Sport Singapore,Entry level,Contract,Closing on 31 Mar 2022,4 day(s) ago
"Executive/ Senior Executive/ Manager (Crisis Preparedness), Crisis Preparedness",Ministry of Home Affairs,Entry level,Permanent/Contract,Closing on 23 Mar 2022,4 day(s) ago
"Senior Assistant/Assistant Executive, Transport Safety Investigation Bureau",Ministry of Transport,Entry level,Permanent/Contract,Closing on 25 Mar 2022,3 day(s) ago
Manager (Security/Land Transport) [HSBD],Workforce Singapore,Entry level,Permanent/Contract,Closing on 23 Mar 2022,4 day(s) ago
"Senior Manager / Manager, Cybersecurity Audit, Audit",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"SENIOR EXECUTIVE, HR (2-YEAR FIXED TERM) - HUMAN RESOURCE & ORGANISATIONAL DEVEL",Ngee Ann Polytechnic,03-00 year(s),Contract,Closing on 27 Mar 2022,4 day(s) ago
Executive / Senior Executive (Food Processing Section),Singapore Food Agency,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"Assistant Director, Sector Development (Visual Arts)",National Arts Council,08-10 year(s),Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"Lead/Engineer (Project Manager/ Business Analyst), Joint Capabilities PMC",Home Team Science and Technology Agency (HTX),Entry level,Permanent/Contract,Closing on 23 Mar 2022,4 day(s) ago
"SENIOR EXECUTIVE / EXECUTIVE, TECHNICAL – SCHOOL OF HEALTH SCIENCES",Ngee Ann Polytechnic,01-03 year(s),Fixed Terms,Closing on 27 Mar 2022,4 day(s) ago
"ASSOCIATE LECTURER, BUILDING DIGITALIZATION & MANAGEMENT",Ngee Ann Polytechnic,03-00 year(s),Contract,Closing on 27 Mar 2022,4 day(s) ago
"SENIOR EXECUTIVE / EXECUTIVE, TECHNICAL – SCHOOL OF HEALTH SCIENCES",Ngee Ann Polytechnic,01-03 year(s),Fixed Terms,Closing on 27 Mar 2022,4 day(s) ago
Contracts Manager,Housing and Development Board,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
"Senior Officer, Registry Services Department (1-year Contract)",Accounting and Corporate Regulatory Authority,Entry level,Permanent/Contract,Closing on 24 Mar 2022,4 day(s) ago
